name,address,latitude,longitude
Brindle Ridge Volunteer Fire Department,"8763 N Wilderness Rd, Mt Vernon, KY 40456, USA",37.4689373,-84.33293979999999
Brodhead Volunteer Fire Department,"3 S Main St, Brodhead, KY 40409, USA",37.4027673,-84.41474389999999
Bromley Volunteer Fire Department,"226 Boone St, Bromley, KY 41016, USA",39.081691,-84.5615356
Bronston-Quinton Volunteer Fire Department,"2375 KY-790, Bronston, KY 42518, USA",36.9651814,-84.6138364
"Brooksville Volunteer Fire Department. Inc.,","103 Frankfort St, Brooksville, KY 41004, USA",38.68255389999999,-84.0660726
Browning Volunteer Fire Department,"3866 Browning Rd, Rockfield, KY 42274, USA",36.9456263,-86.60558440000001
Brownsville Volunteer Fire Department,"121 Washington St, Brownsville, KY 42210, USA",37.1911597,-86.2635012
Brush Creek Volunteer Fire Department,"22 Chelf Ridge Rd, Hustonville, KY 40437, USA",37.3709096,-84.93434789999999
Buckeye Volunteer Fire Department,"180 Industry Rd, Lancaster, KY 40444, USA",37.6073084,-84.58010890000001
"Buckhorn Volunteer Fire Department, Inc.","19 Firehall Rd, Bloomsburg, PA 17815, USA",41.014955,-76.4953309
Buechel Fire Protection District,"4101 Bardstown Rd, Louisville, KY 40218, USA",38.1925543,-85.6467777
Buffalo Fire Deptment,"2619 Greensburg Rd, Buffalo, KY 42716, USA",37.509421,-85.7012888
Burgin Fire Department,"116 Main St, Harrodsburg, KY 40330, USA",37.753127,-84.76661829999999
Burkesville Fire Department,"214 Upper River St, Burkesville, KY 42717, USA",36.7869014,-85.3659526
Burlington Fire Protection District,"6050 Firehouse Dr, Burlington, KY 41005, USA",39.0261534,-84.716702
Burna Community Fire Department,"US-60, United States",36.6270614,-94.99946779999999
Burning Springs Fire Department,"8845, 9195 US-421, Manchester, KY 40962, United States",37.2562317,-83.8185767
"Bush Fire Department, Inc.","8642 East Laurel Road, London, KY 40741, USA",37.0899481,-83.8794085
Butler & Community Volunteer Fire Department,"Taylor St, Butler, KY 41006, USA",38.7866612,-84.3753064
Cadiz Fire Department,"Main St, Cadiz, KY 42211, USA",36.8670493,-87.8085385
Cairo Volunteer Fire Department,"13115 US Highway 41A, Henderson, KY 42420, USA",37.7153435,-87.64999639999999
"Caledonia Volunteer Fire Department, Inc.","212 McAdoo Creek Rd, Clarksville, TN 37043, USA",36.4922119,-87.22230189999999
"Calloway County Fire-Rescue, Inc.","101 E Sycamore St, Murray, KY 42071, USA",36.601741,-88.298737
Calvert City Fire Department,"861 5th Ave SE, Calvert City, KY 42029, USA",37.0241033,-88.3387028
Camp Dick Fire & Rescue District #2,"Old US Hwy 27, Lancaster, KY 40444, USA",37.7142535,-84.64887499999999
Camp Dix Volunteer Fire Department,"US-1, United States",35.5332005,-79.179632
Camp Springs Fire Department,"6844 4 Mile Rd, Melbourne, KY 41059, USA",38.9937089,-84.3640221
Camp Taylor Fire District,"4649 Poplar Level Rd, Louisville, KY 40213, USA",38.1810125,-85.6944204
Campbellsburg Fire and Rescue,"8118 Main St, Campbellsburg, KY 40011, USA",38.52393430000001,-85.2011911
Campbellsville Fire Rescue,"100 W Broadway St, Campbellsville, KY 42718, USA",37.3409503,-85.3462874
Caneyville Volunteer Fire Department,"304 E Maple St, Caneyville, KY 42721, USA",37.4242034,-86.4857624
Cannonsburg Fire Department,"2000 Cannonsburg Rd, Ashland, KY 41102, USA",38.3881335,-82.7033185
Carlisle Volunteer Fire Department,"Carlisle, PA 17013, USA",40.2010241,-77.20027449999999
"Carr Fork Volunteer Fire Department, Inc.","25 KY-582, Pine Top, KY 41843, USA",37.2723361,-82.8646284
Carrollton Fire Department,"750 Clay St, Carrollton, KY 41008, USA",38.6770198,-85.1745258
Carter City Volunteer Fire Department,"Carter, KY 41128, USA",38.4309142,-83.1263506
Catlettsburg Fire Department,"2600 Broadway, Catlettsburg, KY 41129, USA",38.4174139,-82.59814779999999
Cave City Volunteer Fire Department,"103 Duke St, Cave City, KY 42127, USA",37.1392251,-85.9581773
Cayce Volunteer Fire Department,"340 Browder St, Fulton, KY 42041, USA",36.50985379999999,-88.8756355
Cedar Springs Volunteer Fire Department #1,"51 Cedar Springs Rd, Scottsville, KY 42164, USA",36.8365669,-86.1094183
Cedar Springs Volunteer Fire Department #2,"7815 Brownsford Rd, Scottsville, KY 42164, USA",36.7572094,-86.05580959999999
Centertown Volunteer Fire Department,"814 Main St, Centertown, KY 42328, USA",37.41761,-87.0003732
Central Campbell County Fire District,"4113 E Alexandria Pike, Cold Spring, KY 41076, USA",39.0215469,-84.4389954
Central City Fire Department,"207 N 2nd St, Central City, KY 42330, USA",37.2950659,-87.12471690000001
Central Hardin Fire Department,"2522 Ring Rd, Elizabethtown, KY 42701, USA",37.7320554,-85.8433733
Cerulean Volunteer Fire Department,"75 Turner Rawls St, Cerulean, KY 42215, USA",36.962114,-87.7107686
Chalybeate Fire Department,"1846 Chalybeate Rd, Smiths Grove, KY 42171, USA",37.1328747,-86.23291809999999
Charleston Volunteer Fire Department,"53 Sunset Rd, Hanson, KY 42413, USA",37.41715300000001,-87.482173
Cherokee National Forest,"1700 Bypass Rd, Winchester, KY 40391, USA",37.9937654,-84.2137085
Cherryville Fire &Rescue Dept,"7777 Hwy 1690, Louisa, KY 41230, USA",37.9238446,-82.6504625
City of Adairville Volunteer Fire Department,"101 US-177, Carney, OK 74832, USA",35.8068978,-97.0174593
City of Albany Fire Department,"900 N Church St, Livingston, TN 38570, USA",36.3930804,-85.3266092
City of Bardstown Fire Department,"220 N 5th St, Bardstown, KY 40004, USA",37.8124094,-85.470281
City of Bradfordsville Fire Department,"200 Central Ave, Bradfordsville, KY 40009, USA",37.4949099,-85.1501778
City of Dixon Volunteer Fire Department,"Dixon, CA 95620, USA",38.4454641,-121.8232958
City of Evarts Volunteer Fire Department,"101 Harlan St, Evarts, KY 40828, USA",36.864134,-83.1938174
City of London Fire Department,"911 Fire Rescue Dr, London, KY 40741, USA",37.1246839,-84.0824075
City of Mayfield Fire Department,"211 E Broadway St, Mayfield, KY 42066, USA",36.7423683,-88.63424499999999
City of McKee Volunteer Fire Department,"526 Main St, McKee, KY 40447, USA",37.43047370000001,-83.99816299999999
City of Radcliff Fire Department,"604 S Wilson Rd, Radcliff, KY 40160, USA",37.8339626,-85.93554890000001
City of West Liberty Fire Department,"826 W Main St, West Liberty, KY 41472, USA",37.9053794,-83.27374619999999
Clark County Fire Department,"200 Barnes Dr, Winchester, KY 40391, USA",38.0029979,-84.16874949999999
Clarkson Fire & Rescue Department,"204 1st St, Clarkson, KY 42726, USA",37.494428,-86.2198482
Clay City Fire Department,"215 12th St, Clay City, KY 40312, USA",37.8527633,-83.9173132
Clay Fire Department,"215 12th St, Clay City, KY 40312, USA",37.8527633,-83.9173132
Clear Springs Volunteer Fire Department,"3412 KY-301, Mayfield, KY 42066, USA",36.82785519999999,-88.5380835
Clementsville Volunteer Fire Department,"11298 KY-70, Liberty, KY 42539, USA",37.28389749999999,-85.0805312
Clifty Volunteer Fire Department,"120 Firehouse Ln, Graham, KY 42344, USA",37.236165,-87.2758097
Clintonville Volunteer Fire Department,"545 Hawkins - Cummins Rd, Paris, KY 40361, USA",38.2423533,-84.37214379999999
Cloverport Fire Department,"710 W Huston St, Cloverport, KY 40111, USA",37.8350806,-86.63924399999999
"Coal Run Village Volunteer Fire Department, Inc.","98 Church St, Pikeville, KY 41501, USA",37.5163909,-82.5646663
Cobb Hill Volunteer Fire Department,"552 Watson Rdg, Ravenna, KY 40472, United States",37.72031,-83.834403
Columbia Fire Department,"200 Merchant St, Columbia, KY 42728, USA",37.104458,-85.30559509999999
Columbus Volunteer Fire Department,"10996 KY-58, Columbus, KY 42032, USA",36.7565898,-89.1016756
Community Volunteer Fire Department of Canoe,"1650 Houston Rd, Booneville, KY 41314, USA",37.4634481,-83.4989636
Concord Fire Protection District,"5265 Enterprise Dr, Paducah, KY 42001, USA",37.0834319,-88.6960594
"Coon Creek Volunteer Fire & Rescue, Inc.","3197 Coon Creek Rd, Cinda, KY 41776, USA",37.1178152,-83.2961322
Corbin Fire Department,"805 S Main St #106, Corbin, KY 40701, USA",36.9419951,-84.09484549999999
Corinth Volunteer Fire Department,"Corinth, KY 41010, USA",38.4967376,-84.56410989999999
Cornettsville Fire Department,"699 Kentucky Hwy, Cornettsville, KY 41731, USA",37.1078,-83.0881
Cornishville Volunteer Fire Department,"4534 Cornishville Rd, Cornishville, KY 40330, USA",37.7988354,-84.99166880000001
Corydon Civil Defense Fire & Rescue,"Corydon, IN 47112, USA",38.2120121,-86.1219155
Covington Fire Department,"100 E Robbins St, Covington, KY 41011, USA",39.08067399999999,-84.5071169
Cow Creek Volunteer Fire Department,"2147 KY-194, Prestonsburg, KY 41653, USA",37.6607653,-82.6497091
